,date,key,cum_severe,cum_critical,cum_on_ventilator,dataQualityGrade,lastUpdateEt,death,new_death,new_severe,new_negatives,new_diagnoses,new_tests,day,new_critical,num_on_ventilator
4512,2020-03-06,PA,,,,,,,,,,,,0,,
4473,2020-03-07,PA,,,,,,,0.0,0.0,0.0,2.0,2.0,1,,
4423,2020-03-08,PA,,,,,,,0.0,0.0,0.0,2.0,2.0,2,,
4373,2020-03-09,PA,,,,,,,0.0,0.0,0.0,4.0,4.0,3,,
4323,2020-03-10,PA,,,,,,,0.0,0.0,0.0,2.0,2.0,4,,
4273,2020-03-11,PA,,,,,,,0.0,0.0,88.0,4.0,92.0,5,,
4223,2020-03-12,PA,,,,,3/12/2020 13:45,,0.0,0.0,28.0,6.0,34.0,6,,
4172,2020-03-13,PA,,,,,3/13/2020 15:30,,0.0,0.0,24.0,19.0,43.0,7,,
4121,2020-03-14,PA,,,,,3/14/2020 14:00,,0.0,0.0,65.0,6.0,71.0,8,,
4070,2020-03-15,PA,,,,,3/15/2020 12:00,,0.0,0.0,0.0,16.0,16.0,9,,
4017,2020-03-16,PA,,,,,3/16/2020 15:28,,0.0,0.0,465.0,13.0,478.0,10,,
3961,2020-03-17,PA,,,,,3/17/2020 12:45,,0.0,0.0,209.0,20.0,229.0,11,,
3905,2020-03-18,PA,,,,,3/18/2020 12:00,1.0,1.0,0.0,308.0,37.0,345.0,12,,
3849,2020-03-19,PA,,,,,3/19/2020 12:00,1.0,0.0,0.0,421.0,52.0,473.0,13,,
3793,2020-03-20,PA,,,,,3/20/2020 12:00,1.0,0.0,0.0,966.0,83.0,1049.0,14,,
3737,2020-03-21,PA,,,,,3/21/2020 12:00,2.0,1.0,0.0,1192.0,103.0,1295.0,15,,
3681,2020-03-22,PA,,,,,3/22/2020 12:00,2.0,0.0,0.0,1198.0,108.0,1306.0,16,,
3625,2020-03-23,PA,,,,A,3/23/2020 15:00,6.0,4.0,0.0,1631.0,165.0,1796.0,17,,
3569,2020-03-24,PA,,,,A,3/24/2020 12:00,7.0,1.0,0.0,2048.0,207.0,2255.0,18,,
3513,2020-03-25,PA,,,,A,3/25/2020 12:00,11.0,4.0,0.0,2550.0,276.0,2826.0,19,,
3457,2020-03-26,PA,,,,A,3/26/2020 12:00,16.0,5.0,0.0,5248.0,560.0,5808.0,20,,
3401,2020-03-27,PA,241.0,,,A,3/27/2020 12:00,22.0,6.0,241.0,4575.0,531.0,5106.0,21,,
3345,2020-03-28,PA,316.0,,,A,3/28/2020 12:00,34.0,12.0,75.0,4238.0,533.0,4771.0,22,,
3289,2020-03-29,PA,353.0,,,A,3/29/2020 12:00,38.0,4.0,37.0,4807.0,643.0,5450.0,23,,
3233,2020-03-30,PA,386.0,,,A,3/30/2020 12:00,49.0,11.0,33.0,3716.0,693.0,4409.0,24,,
3177,2020-03-31,PA,514.0,,,A,3/31/2020 12:00,63.0,14.0,128.0,3868.0,756.0,4624.0,25,,
3121,2020-04-01,PA,620.0,,,A,4/1/2020 12:00,74.0,11.0,106.0,4782.0,962.0,5744.0,26,,
3065,2020-04-02,PA,730.0,,,A,4/2/2020 12:00,90.0,16.0,110.0,5271.0,1211.0,6482.0,27,,
3009,2020-04-03,PA,852.0,,,A,4/3/2020 12:00,102.0,12.0,122.0,5997.0,1404.0,7401.0,28,,
2953,2020-04-04,PA,1004.0,,,A,4/4/2020 12:00,136.0,34.0,152.0,6318.0,1597.0,7915.0,29,,
2897,2020-04-05,PA,1072.0,,,A,4/5/2020 12:00,150.0,14.0,68.0,6248.0,1493.0,7741.0,30,,
2841,2020-04-06,PA,1145.0,,,A,4/6/2020 12:00,162.0,12.0,73.0,4613.0,1470.0,6083.0,31,,
2785,2020-04-07,PA,,,,A,4/7/2020 13:00,240.0,78.0,0.0,5845.0,1579.0,7424.0,32,,
2729,2020-04-08,PA,,,,A,4/8/2020 14:45,309.0,69.0,0.0,5580.0,1680.0,7260.0,33,,
2673,2020-04-09,PA,,,,A,4/9/2020 12:00,338.0,29.0,0.0,5075.0,1989.0,7064.0,34,,
2617,2020-04-10,PA,,,,A,4/10/2020 12:00,416.0,78.0,0.0,5666.0,1751.0,7417.0,35,,
2561,2020-04-11,PA,,,,A,4/11/2020 12:00,494.0,78.0,0.0,5458.0,1676.0,7134.0,36,,
2505,2020-04-12,PA,,,,A,4/12/2020 12:00,507.0,13.0,0.0,3559.0,1178.0,4737.0,37,,
2449,2020-04-13,PA,,,,A,4/13/2020 12:00,524.0,17.0,0.0,3536.0,1366.0,4902.0,38,,
2393,2020-04-14,PA,,,,A,4/14/2020 12:00,584.0,60.0,0.0,2693.0,1146.0,3839.0,39,,
2337,2020-04-15,PA,,,,A,4/15/2020 12:00,647.0,63.0,0.0,2808.0,1145.0,3953.0,40,,
2281,2020-04-16,PA,,,,A,4/16/2020 12:00,707.0,60.0,0.0,2641.0,1245.0,3886.0,41,,
2225,2020-04-17,PA,,,,A,4/17/2020 12:00,756.0,49.0,0.0,4197.0,1706.0,5903.0,42,,
2169,2020-04-18,PA,,,,A,4/18/2020 12:00,836.0,80.0,0.0,4964.0,1628.0,6592.0,43,,
2113,2020-04-19,PA,,,,A,4/19/2020 13:00,1112.0,276.0,0.0,3674.0,1215.0,4889.0,44,,
2057,2020-04-20,PA,,,,A,4/20/2020 12:00,1204.0,92.0,0.0,3150.0,948.0,4098.0,45,,
2001,2020-04-21,PA,,,,A,4/21/2020 14:00,1564.0,360.0,0.0,2603.0,1296.0,3899.0,46,,
1945,2020-04-22,PA,,,,A,4/22/2020 00:00,1622.0,58.0,0.0,3949.0,1156.0,5105.0,47,,
1889,2020-04-23,PA,,,,A,4/23/2020 00:00,1421.0,-201.0,0.0,5789.0,1369.0,7158.0,48,,
1833,2020-04-24,PA,,,,A,4/24/2020 00:00,1492.0,71.0,0.0,5430.0,1599.0,7029.0,49,,
1777,2020-04-25,PA,,,,B,4/25/2020 00:00,1537.0,45.0,0.0,5395.0,1397.0,6792.0,50,,
1721,2020-04-26,PA,,,,B,4/26/2020 12:00,1550.0,13.0,0.0,4542.0,1116.0,5658.0,51,,
1665,2020-04-27,PA,,,,B,4/27/2020 12:00,1597.0,47.0,0.0,3944.0,885.0,4829.0,52,,
1609,2020-04-28,PA,,,,B,4/28/2020 00:00,1716.0,119.0,0.0,4452.0,1214.0,5666.0,53,,
1553,2020-04-29,PA,,,,B,4/29/2020 00:00,2195.0,479.0,0.0,4693.0,1102.0,5795.0,54,,
1497,2020-04-30,PA,,,,B,4/30/2020 00:00,2292.0,97.0,0.0,5085.0,1397.0,6482.0,55,,
1441,2020-05-01,PA,,,,B,5/1/2020 15:30,2354.0,62.0,0.0,4875.0,1208.0,6083.0,56,,
1385,2020-05-02,PA,,,,B,5/2/2020 00:00,2418.0,64.0,0.0,6594.0,1334.0,7928.0,57,,
1329,2020-05-03,PA,,,,B,5/3/2020 00:00,2444.0,26.0,0.0,4303.0,962.0,5265.0,58,,
1273,2020-05-04,PA,,,,B,5/4/2020 00:00,2458.0,14.0,0.0,4124.0,825.0,4949.0,59,,
1217,2020-05-05,PA,,,,B,5/5/2020 00:00,3012.0,554.0,0.0,4427.0,865.0,5292.0,60,,
1161,2020-05-06,PA,,,,C,5/6/2020 00:00,3106.0,94.0,0.0,4570.0,888.0,5458.0,61,,
1105,2020-05-07,PA,,,,C,5/7/2020 00:00,3416.0,310.0,0.0,5378.0,1070.0,6448.0,62,,
1049,2020-05-08,PA,,,,C,5/8/2020 00:00,3616.0,200.0,0.0,6448.0,1323.0,7771.0,63,,
993,2020-05-09,PA,,,,C,5/9/2020 00:00,3688.0,72.0,0.0,5470.0,1078.0,6548.0,64,,
937,2020-05-10,PA,,,,C,5/10/2020 00:00,3707.0,19.0,0.0,5981.0,1295.0,7276.0,65,,
881,2020-05-11,PA,,,,C,5/11/2020 00:00,3731.0,24.0,0.0,3932.0,543.0,4475.0,66,,
825,2020-05-12,PA,,,,C,5/12/2020 12:00,3806.0,75.0,0.0,6285.0,837.0,7122.0,67,,
769,2020-05-13,PA,,,,C,5/13/2020 00:00,3943.0,137.0,0.0,6182.0,707.0,6889.0,68,,
713,2020-05-14,PA,,,,C,5/14/2020 00:00,4218.0,275.0,0.0,7388.0,938.0,8326.0,69,,
657,2020-05-15,PA,,,,C,5/15/2020 00:00,4342.0,124.0,0.0,7651.0,986.0,8637.0,70,,
601,2020-05-16,PA,,,,C,5/16/2020 00:00,4403.0,61.0,0.0,7015.0,989.0,8004.0,71,,
545,2020-05-17,PA,,,,C,5/17/2020 00:00,4418.0,15.0,0.0,4445.0,623.0,5068.0,72,,
489,2020-05-18,PA,,,,C,5/18/2020 00:00,4505.0,87.0,0.0,6883.0,822.0,7705.0,73,,
433,2020-05-19,PA,,,,B,5/18/2020 00:00,4624.0,119.0,0.0,8481.0,610.0,9091.0,74,,
377,2020-05-20,PA,,,,B,5/19/2020 00:00,4624.0,0.0,0.0,0.0,0.0,0.0,75,,
321,2020-05-21,PA,,,,B,5/21/2020 00:00,4869.0,245.0,0.0,17480.0,1726.0,19206.0,76,,
265,2020-05-22,PA,,,,A,5/22/2020 00:00,4984.0,115.0,0.0,9229.0,866.0,10095.0,77,,
209,2020-05-23,PA,,,,A,5/23/2020 00:00,5096.0,112.0,0.0,8726.0,725.0,9451.0,78,,
153,2020-05-24,PA,,,,A,5/24/2020 12:00,5124.0,28.0,0.0,6913.0,730.0,7643.0,79,,
97,2020-05-25,PA,,,,A,5/25/2020 00:00,5139.0,15.0,0.0,6546.0,473.0,7019.0,80,,
41,2020-05-26,PA,,,,A,5/26/2020 11:15,5152.0,13.0,0.0,4907.0,451.0,5358.0,81,,
